,cost,budget,status,additional_info,deselect,embedding_dim,learning_rate_init,lossweight1,lossweight2,lossweight3,lossweight4,n_compettitors,repellent_share,topk
10,0.0,10000.0,SUCCESS,[None],1,2,0.8106647537654478,8.125777947485235,3.2600728412372524,5.337034662057196,9.815841373443119,9,0.35861723326499595,16
14,0.0,10000.0,SUCCESS,[None],3,4,0.3936538342193801,6.4826061984441115,0.9980549926492865,1.7575433183022293,8.07373714514241,7,0.2758979284107872,17
15,0.0,10000.0,SUCCESS,[None],10,3,0.5906672978692131,3.0656917467006775,2.6704429299657164,7.886892599334856,7.049967325053674,2,0.7738617485635468,16
17,0.0,10000.0,SUCCESS,"[[0.0, 0.25211811624467373]]",3,2,0.16776533770746369,6.7621257661648695,8.571874423123765,6.752714809132879,1.181078038730431,15,0.7377404124168798,15
28,0.0,10000.0,SUCCESS,[None],7,5,0.43991650327464854,5.836248639773514,9.248417688399414,9.077473190939735,2.1820863897363085,7,0.3659327465865332,7
32,0.0,10000.0,SUCCESS,[None],5,5,0.015265957867896019,2.987439432646278,4.520751287346845,8.115112113834067,2.537561945146831,19,0.6575807988431541,17
