,cost,budget,status,additional_info,deselect,embedding_dim,learning_rate_init,lossweight1,lossweight2,lossweight3,lossweight4,n_compettitors,repellent_share,topk
10,0.0,10000.0,SUCCESS,"[[0.49841055274009705, 0.09186796459835023]]",7,4,0.031596430017016695,8.889593072815732,4.480960161036887,0.5303075039036587,3.7988725132134684,6,0.20763774788788644,4
14,0.0,10000.0,SUCCESS,"[[0.0, 0.024466404516715556]]",6,2,0.013048181272330107,8.01719481967063,9.20901120736605,7.387907877557361,2.512988909527578,2,0.5041429343559316,9
15,0.0,10000.0,SUCCESS,"[[0.0, 1.9023061897605658]]",10,3,0.5906672978692131,3.0656917467006775,2.6704429299657164,7.886892599334856,7.049967325053674,2,0.7738617485635468,16
17,0.0,10000.0,SUCCESS,"[[0.0, 0.32842779951170087]]",3,2,0.16776533770746369,6.7621257661648695,8.571874423123765,6.752714809132879,1.181078038730431,15,0.7377404124168798,15
28,0.0,10000.0,SUCCESS,"[[0.0, 0.0023057509752106853]]",4,3,0.0008202557987496634,1.0743644977881772,7.080048716650394,0.6878170396473693,5.3693361047422385,11,0.7734975307849858,2
32,0.0,10000.0,SUCCESS,"[[4511.788357257843, 37.137787997722626]]",5,5,0.015265957867896019,2.987439432646278,4.520751287346845,8.115112113834067,2.537561945146831,19,0.6575807988431541,17
